iter	Passed	Remaining
400	19307	28840
401	19346	28779
402	19383	28714
403	19419	28649
404	19457	28586
405	19497	28526
406	19544	28476
407	19617	28464
408	19660	28408
409	19702	28352
410	19743	28294
411	19784	28235
412	19829	28183
413	19882	28142
414	19922	28083
415	19962	28023
416	20000	27962
417	20039	27901
418	20078	27841
419	20118	27782
420	20157	27721
421	20198	27665
422	20247	27618
423	20307	27587
424	20349	27531
425	20392	27476
426	20436	27423
427	20478	27368
428	20515	27306
429	20554	27246
430	20594	27188
431	20632	27128
432	20672	27069
433	20710	27010
434	20757	26960
435	20797	26903
436	20842	26852
437	20887	26801
438	20929	26745
439	20971	26691
440	21010	26632
441	21055	26580
442	21099	26529
443	21149	26484
444	21257	26512
445	21323	26486
446	21381	26451
447	21499	26491
448	21548	26443
449	21593	26392
450	21642	26345
451	21686	26292
452	21726	26234
453	21770	26182
454	21809	26123
455	21850	26066
456	21892	26012
457	21931	25953
458	21970	25895
459	22034	25867
460	22079	25815
461	22127	25767
462	22171	25715
463	22228	25678
464	22268	25620
465	22311	25567
466	22355	25514
467	22396	25459
468	22443	25411
469	22494	25366
470	22536	25311
471	22577	25256
472	22619	25202
473	22659	25145
474	22697	25087
475	22735	25028
476	22772	24968
477	22808	24908
478	22846	24849
479	22890	24797
480	22934	24746
481	22982	24698
482	23025	24646
483	23067	24592
484	23105	24534
485	23152	24486
486	23212	24451
487	23251	24395
488	23292	24340
489	23334	24286
490	23376	24233
491	23423	24185
492	23483	24150
493	23522	24093
494	23567	24043
495	23606	23987
496	23645	23930
497	23689	23879
498	23730	23825
499	23772	23772
500	23815	23719
501	23855	23665
502	23892	23607
503	23933	23554
504	23971	23497
505	24011	23442
506	24068	23403
507	24108	23349
508	24146	23292
509	24182	23234
510	24219	23176
511	24260	23123
512	24301	23069
513	24340	23014
514	24379	22959
515	24420	22905
516	24460	22851
517	24499	22797
518	24536	22739
519	24580	22689
520	24619	22634
521	24659	22581
522	24701	22528
523	24803	22531
524	24851	22484
525	24894	22433
526	24934	22379
527	24975	22326
528	25012	22270
529	25056	22219
530	25100	22169
531	25138	22114
532	25176	22058
533	25225	22013
534	25282	21974
535	25320	21919
536	25358	21863
537	25396	21808
538	25433	21752
539	25480	21705
540	25520	21651
541	25557	21596
542	25598	21544
543	25636	21489
544	25682	21441
545	25725	21390
546	25762	21335
547	25799	21280
548	25840	21227
549	25890	21183
550	25929	21129
551	25967	21075
552	26006	21021
553	26043	20966
554	26083	20913
555	26121	20859
556	26160	20805
557	26200	20753
558	26239	20700
559	26281	20649
560	26319	20595
561	26360	20544
562	26399	20491
563	26437	20437
564	26478	20386
565	26520	20335
566	26568	20289
567	26623	20248
568	26666	20199
569	26708	20148
570	26750	20097
571	26793	20048
572	26851	20009
573	26890	19956
574	26929	19904
575	26969	19852
576	27013	19803
577	27058	19755
578	27100	19704
579	27141	19654
580	27187	19607
581	27233	19559
582	27276	19509
583	27338	19473
584	27389	19430
585	27437	19384
586	27480	19334
587	27517	19280
588	27559	19230
589	27596	19177
590	27634	19124
591	27674	19073
592	27712	19019
593	27767	18979
594	27906	18995
595	27959	18952
596	28003	18903
597	28043	18851
598	28084	18801
599	28124	18749
600	28172	18703
601	28213	18652
602	28258	18605
603	28301	18555
604	28343	18505
605	28405	18468
606	28452	18421
607	28510	18381
608	28561	18337
609	28604	18287
610	28646	18238
611	28687	18187
612	28724	18134
613	28767	18084
614	28811	18036
615	28852	17986
616	28894	17935
617	28939	17888
618	28984	17840
619	29027	17790
620	29066	17739
621	29109	17690
622	29159	17645
623	29197	17593
624	29235	17541
625	29272	17488
626	29310	17436
627	29347	17384
628	29392	17336
629	29448	17295
630	29492	17246
631	29530	17195
632	29573	17145
633	29613	17095
634	29653	17044
635	29696	16996
636	29734	16944
637	29773	16893
638	29816	16844
639	29864	16799
640	29911	16752
641	29955	16704
642	29999	16655
643	30040	16606
644	30078	16555
645	30121	16506
646	30161	16455
647	30197	16403
648	30234	16351
649	30271	16300
650	30322	16255
651	30374	16212
652	30411	16160
653	30448	16108
654	30488	16059
655	30532	16010
656	30572	15961
657	30609	15909
658	30650	15860
659	30690	15810
660	30731	15761
661	30770	15710
662	30808	15659
663	30845	15608
664	30880	15556
665	30920	15506
666	30958	15455
667	30998	15406
668	31045	15360
669	31084	15310
670	31125	15261
671	31170	15214
672	31211	15165
673	31252	15116
674	31293	15067
675	31332	15017
676	31369	14966
677	31409	14917
678	31447	14867
679	31502	14824
680	31552	14780
681	31591	14730
682	31633	14681
683	31674	14633
684	31713	14583
685	31751	14533
686	31790	14483
687	31828	14434
688	31867	14384
689	31909	14336
690	31948	14286
691	31989	14238
692	32028	14188
693	32070	14140
694	32113	14093
695	32170	14051
696	32222	14007
697	32272	13963
698	32318	13916
699	32370	13873
700	32416	13826
701	32460	13779
702	32504	13732
703	32545	13683
704	32588	13636
705	32628	13587
706	32674	13541
707	32713	13492
708	32752	13443
709	32793	13394
710	32845	13350
711	32882	13300
712	32920	13251
713	32963	13203
714	33008	13157
715	33047	13108
716	33090	13060
717	33125	13010
718	33163	12961
719	33204	12912
720	33241	12863
721	33281	12814
722	33317	12764
723	33354	12715
724	33390	12665
725	33429	12616
726	33468	12567
727	33505	12518
728	33547	12470
729	33591	12424
730	33638	12378
731	33674	12328
732	33711	12279
733	33749	12230
734	33789	12182
735	33835	12136
736	33877	12089
737	33914	12039
738	33953	11991
739	33990	11942
740	34030	11894
741	34068	11846
742	34109	11798
743	34146	11749
744	34187	11701
745	34230	11654
746	34278	11609
747	34327	11564
748	34377	11520
749	34419	11473
750	34464	11427
751	34509	11380
752	34556	11335
753	34594	11286
754	34637	11239
755	34675	11191
756	34714	11143
757	34757	11096
758	34796	11048
759	34954	11038
760	35165	11044
761	35269	11015
762	35345	10978
763	35420	10941
764	35482	10899
765	35642	10888
766	35711	10848
767	35754	10800
768	35791	10751
769	35832	10703
770	35870	10654
771	35911	10605
772	35951	10557
773	35989	10508
774	36026	10459
775	36062	10409
776	36101	10361
777	36148	10314
778	36187	10266
779	36225	10217
780	36265	10169
781	36304	10120
782	36344	10072
783	36382	10023
784	36418	9974
785	36457	9926
786	36492	9876
787	36534	9829
788	36574	9781
789	36609	9731
790	36649	9683
791	36687	9635
792	36724	9586
793	36762	9537
794	36800	9489
795	36838	9441
796	36875	9392
797	36913	9344
798	36951	9295
799	36988	9247
800	37030	9199
801	37066	9151
802	37104	9102
803	37141	9054
804	37178	9006
805	37217	8958
806	37258	8910
807	37295	8862
808	37331	8813
809	37371	8766
810	37414	8719
811	37453	8671
812	37493	8623
813	37530	8575
814	37567	8527
815	37606	8479
816	37648	8432
817	37688	8385
818	37734	8339
819	37778	8292
820	37822	8246
821	37862	8198
822	37901	8151
823	37943	8104
824	37985	8057
825	38024	8010
826	38063	7962
827	38101	7914
828	38146	7868
829	38186	7821
830	38226	7774
831	38266	7726
832	38306	7679
833	38347	7632
834	38396	7587
835	38443	7541
836	38490	7495
837	38534	7449
838	38573	7402
839	38612	7354
840	38655	7308
841	38703	7262
842	38744	7215
843	38784	7168
844	38825	7121
845	38868	7075
846	38907	7028
847	38954	6982
848	38992	6935
849	39031	6887
850	39080	6842
851	39124	6796
852	39161	6748
853	39199	6701
854	39240	6654
855	39280	6607
856	39318	6560
857	39356	6513
858	39395	6466
859	39436	6419
860	39479	6373
861	39530	6328
862	39574	6282
863	39612	6235
864	39650	6188
865	39689	6141
866	39730	6094
867	39771	6048
868	39810	6001
869	39870	5957
870	39919	5912
871	39970	5867
872	40012	5820
873	40051	5773
874	40089	5727
875	40128	5680
876	40170	5633
877	40208	5587
878	40247	5540
879	40290	5494
880	40329	5447
881	40368	5400
882	40408	5354
883	40447	5307
884	40487	5261
885	40527	5214
886	40568	5168
887	40609	5121
888	40648	5075
889	40684	5028
890	40721	4981
891	40758	4934
892	40799	4888
893	40840	4842
894	40880	4796
895	40922	4749
896	40960	4703
897	40999	4656
898	41040	4610
899	41078	4564
900	41118	4518
901	41164	4472
902	41202	4425
903	41243	4379
904	41284	4333
905	41324	4287
906	41362	4241
907	41401	4194
908	41440	4148
909	41481	4102
910	41523	4056
911	41563	4010
912	41604	3964
913	41642	3918
914	41680	3871
915	41726	3826
916	41767	3780
917	41806	3734
918	41855	3689
919	41897	3643
920	41947	3598
921	42010	3554
922	42051	3508
923	42090	3462
924	42132	3416
925	42172	3370
926	42223	3325
927	42262	3278
928	42299	3232
929	42337	3186
930	42380	3140
931	42424	3095
932	42465	3049
933	42507	3003
934	42547	2957
935	42586	2911
936	42645	2867
937	42683	2821
938	42730	2775
939	42769	2729
940	42811	2684
941	42851	2638
942	42891	2592
943	42928	2546
944	42968	2500
945	43008	2455
946	43050	2409
947	43094	2363
948	43132	2317
949	43170	2272
950	43210	2226
951	43251	2180
952	43299	2135
953	43335	2089
954	43371	2043
955	43411	1998
956	43447	1952
957	43488	1906
958	43532	1861
959	43571	1815
960	43610	1769
961	43647	1724
962	43686	1678
963	43723	1632
964	43765	1587
965	43804	1541
966	43841	1496
967	43879	1450
968	43916	1404
969	43955	1359
970	43995	1313
971	44044	1268
972	44089	1223
973	44124	1177
974	44166	1132
975	44205	1087
976	44246	1041
977	44282	996
978	44321	950
979	44362	905
980	44404	860
981	44445	814
982	44489	769
983	44527	724
984	44567	678
985	44607	633
986	44649	588
987	44689	542
988	44727	497
989	44765	452
990	44804	406
991	44845	361
992	44885	316
993	44925	271
994	44972	225
995	45008	180
996	45047	135
997	45088	90
998	45133	45
999	45175	0
