iter	MultiClass
0	1.49000952
1	1.405642596
2	1.339285119
3	1.285585412
4	1.238148883
5	1.201155605
6	1.172494498
7	1.146358174
8	1.123836107
9	1.106594467
10	1.089860313
11	1.074719268
12	1.060572847
13	1.048346092
14	1.037157313
15	1.027274578
16	1.018163211
17	1.010897365
18	1.004736013
19	0.9967699729
20	0.9909539265
21	0.9845596532
22	0.9796583061
23	0.9747159962
24	0.9705214405
25	0.9668281282
26	0.9631990612
27	0.9593716687
28	0.9545607932
29	0.9524521628
30	0.949552765
31	0.9459310229
32	0.9435930051
33	0.9413918047
34	0.9389981023
35	0.9367099173
36	0.9339015835
37	0.9316203344
38	0.9296703368
39	0.928098585
40	0.9261691295
41	0.9244700714
42	0.9227937202
43	0.9207474994
44	0.9190473795
45	0.9181368042
46	0.9166178958
47	0.9154474483
48	0.9141121051
49	0.9129026993
50	0.9117297553
51	0.9101141264
52	0.9085843454
53	0.9072328523
54	0.9066623635
55	0.9056896913
56	0.904799379
57	0.9038611849
58	0.9033046172
59	0.9012297239
60	0.8998442063
61	0.8993482619
62	0.8984548513
63	0.8967136937
64	0.8958204806
65	0.8951979085
66	0.8939982879
67	0.8924281746
68	0.891387504
69	0.8905236121
70	0.8894893995
71	0.8885910559
72	0.8877324078
73	0.8867738619
74	0.8859139198
75	0.8852250701
76	0.8841717289
77	0.8835347496
78	0.8830599371
79	0.8814540993
80	0.8808858547
81	0.8798685554
82	0.8791936312
83	0.8782679441
84	0.8775998056
85	0.8766111852
86	0.8756723726
87	0.8752536055
88	0.8748697188
89	0.873930505
90	0.8732180733
91	0.8726967651
92	0.8722153055
93	0.8714526594
94	0.8708158544
95	0.8701979947
96	0.8695341961
97	0.8691200636
98	0.8683588686
99	0.8676946153
100	0.8667921525
101	0.8660032884
102	0.865129017
103	0.8646562408
104	0.8638824898
105	0.8633746432
106	0.8625064929
107	0.8618256365
108	0.8609446611
109	0.8601325418
110	0.8591980338
111	0.8588342461
112	0.8583219928
113	0.8578491287
114	0.8575933577
115	0.8566495817
116	0.8556464532
117	0.8551759509
118	0.8546428866
119	0.8535434578
120	0.8530770013
121	0.8520624344
122	0.8513466394
123	0.8506783477
124	0.849799716
125	0.8494085116
126	0.8487870488
127	0.8480545639
128	0.8474677907
129	0.8465772176
130	0.8463458221
131	0.8460767368
132	0.8457148923
133	0.8445482837
134	0.8442552806
135	0.8435261339
136	0.8432955603
137	0.8430528418
138	0.8423562949
139	0.8419482648
140	0.8419067188
141	0.8412175762
142	0.8410700028
143	0.8407055168
144	0.8405173515
145	0.8401795862
146	0.8397655698
147	0.8393346459
148	0.838548395
149	0.8384562406
150	0.8378193731
151	0.8373489094
152	0.8363059289
153	0.8355103281
154	0.8352093995
155	0.8348268818
156	0.8346040701
157	0.8344325528
158	0.8341445901
159	0.8337702745
160	0.8332686545
